CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
LVM190900144911,S GRAND CANYON DR,,S GRAND CANYON DR,CANYON WALK AVE,,CANYON WALK AVE,2019-09-30T00:00:00.000,1557,LAS VEGAS,CLARK,CLARK,652460.850399999,3996684.8626
LVM210800081159,W WASHINGTON AVE,,W WASHINGTON AVE,J ST,,J ST,2021-08-19T00:00:00.000,1815,LAS VEGAS,CLARK,CLARK,665800.9292,4005581.1765
HP22-21575,SUNRIDGE HEIGHTS PKWY,,SUNRIDGE HEIGHTS PKWY,RICH PEREZ JR DR,,RICH PEREZ JR DR,2022-11-04T00:00:00.000,1318,HENDERSON,CLARK,CLARK,670083.587899999,3984648.56369999
LVM230300125380,W DESERT INN RD,,E DESERT INN RD WB,VALLEY VIEW BLVD,,S VALLEY VIEW BLVD,2023-03-29T00:00:00.000,939,LAS VEGAS,CLARK,CLARK,662856.757799999,3999902.3537
SPPD20-3097,PYRAMID WY,,PYRAMID WY,EMERSON WY,,EMERSON WY,2020-04-28T00:00:00.000,2153,SPARKS,WASHOE,WASHOE,263540.739699999,4382350.42899999
LVM230900048874,S BUFFALO RD,,S BUFFALO DR,OTHER,W CACTUS,W CACTUS AVE,2023-09-14T00:00:00.000,1426,LAS VEGAS,CLARK,CLARK,656670.5881,3985150.97939999
LVM190500101483,N TENAYA WAY,,N TENAYA WAY,W CENTENNIAL PKWY,,W CENTENNIAL PKWY,2019-05-21T00:00:00.000,1043,LAS VEGAS,CLARK,CLARK,657034.4786,4016072.01349999
LVM230600021713,N TONOPAH DR,,N TONOPAH DR,W WASHINGTON AVE,,W WASHINGTON AVE,2023-06-05T00:00:00.000,1523,LAS VEGAS,CLARK,CLARK,664568.1639,4005656.77559999
RPD20-1177,GENTRY WAY,,GENTRY WAY,NEIL RD,,NEIL RD,2020-01-18T00:00:00.000,1527,RENO,WASHOE,WASHOE,260775.456299999,4375397.98829999
LVM211000066965,FAIR AVE,,FAIR AVE,COMSTOCK DR,,COMSTOCK DR,2021-10-16T00:00:00.000,1423,LAS VEGAS,CLARK,CLARK,664975.453399999,4005827.7761
LVM210700096096,E WASHINGTON AVE,,E WASHINGTON AVE,CLASSIC CARS LN,,CLASSIC CARS LN,2021-07-21T00:00:00.000,1704,LAS VEGAS,CLARK,CLARK,668270.8167,4005667.66779999
LVM230300073561,W SAHARA AVE,,W SAHARA AVE,ARVILLE ST,,ARVILLE ST,2023-03-17T00:00:00.000,1619,LAS VEGAS,CLARK,CLARK,661875.762799999,4001473.1699
DCSO22SO14596,US50E,,US50E,4-H CAMP RD,,4-H CAMP RD,2022-06-09T00:00:00.000,1335,,DOUGLAS,DOUGLAS,245635.949699999,4317360.05059999
RPD23-17265,SIERRA CENTER PKWY,,SIERRA CENTER PKWY,MAESTRO DR,,MAESTRO DR,2023-09-20T00:00:00.000,1707,RENO,WASHOE,WASHOE,261017.111299999,4372005.778
LVM230600080730,E TROPICANA AVE,,SR593,OTHER,S SAN ANSELMO,SAN ANSELMO ST,2023-06-17T00:00:00.000,2216,LAS VEGAS,CLARK,CLARK,673994.240399999,3996798.74499999
LVM210400009056,S NELLIS BLVD,,SR612,E SAHARA AVE,,E SAHARA AVE,2021-04-03T00:00:00.000,20,LAS VEGAS,CLARK,CLARK,674049.633899999,4001687.85669999
CCSO23-6505,COLUMBIA WAY,,COLUMBIA WAY,CHAMPION ST,,CHAMPION ST,2023-10-16T00:00:00.000,1317,CARSON CITY,CARSON CITY,CARSON CITY,263986.467699999,4340266.07039999
CLSD22097913,DEL MARINO ST,,DEL MARINO ST,S MOJAVE RD,,S MOJAVE RD,2022-09-15T00:00:00.000,815,LAS VEGAS,CLARK,CLARK,670483.483099999,4000262.50789999
LVM190400078600,S RANCHO DR,,S RANCHO DR,W CHARLESTON BLVD,,W CHARLESTON BLVD,2019-04-16T00:00:00.000,1923,LAS VEGAS,CLARK,CLARK,664360.564299999,4003116.1402
RPD21-4157,MILL ST,,MILL ST,IR580S,,IR580S,2021-03-09T00:00:00.000,1544,RENO,WASHOE,WASHOE,260693.167399999,4378178.94769999
