CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
LVM220800046427,KAREN AVE,,KAREN AVE,LYNNWOOD ST,,N JOE W BROWN DR ALY,2022-08-12T00:00:00.000,134,LAS VEGAS,CLARK,CLARK,666465.2083,4001097.4647
LVM230600037395,S LAS VEGAS BLVD,,S LAS VEGAS BLVD,GARCES AVE,,GARCES AVE,2023-06-08T00:00:00.000,2057,LAS VEGAS,CLARK,CLARK,666833.207899999,4003537.66809999
NHP191200134,US95A,,US95A,FREMONT ST,,FREMONT ST,2019-12-02T00:00:00.000,1818,,LYON,LYON,309222.535799999,4386576.5346
NHP190500121,OTHER,N.IR215 EB/IR15 SB ON RAMP,OTHER,OTHER,N. IR215 EB,OTHER,2019-05-02T00:00:00.000,1343,RENO,CLARK,CLARK,674352.028599999,4016049.9995
NLPD2305270010724,LAKE MEAD BLVD,,LAKE MEAD BLVD,BRAND ST,,BRAND ST,2023-05-27T00:00:00.000,2109,NORTH LAS VEGAS,CLARK,CLARK,670447.7081,4007339.1016
LVM210200011965,N LAMB BLVD,,N LAMB BLVD,STEWART AVE,,STEWART AVE,2021-02-03T00:00:00.000,1754,LAS VEGAS,CLARK,CLARK,672648.1561,4004052.61879999
RPD19-8561,E 4TH ST,,E 4TH ST,N CENTER ST,,N CENTER ST,2019-05-05T00:00:00.000,1,RENO,,,258234.369699999,4379390.6125
RPD23-21740,S ARLINGTON AVE,,S ARLINGTON AVE,CALIFORNIA AVE,,CALIFORNIA AVE,2023-11-26T00:00:00.000,847,RENO,WASHOE,WASHOE,257835.5125,4378281.05289999
LVM191100128327,W CHARLESTON BLVD,,W CHARLESTON BLVD,MONTCLAIR ST,,MONTCLAIR ST,2019-11-27T00:00:00.000,1711,LAS VEGAS,CLARK,CLARK,661189.7991,4003081.7137
LVM230500038866,N LOS FELIZ ST,,N LOS FELIZ ST,E LAKE MEAD BLVD,,SR147E,2023-05-09T00:00:00.000,2249,,CLARK,CLARK,678235.672299999,4007723.73369999
RPD21-12249,S SIERRA ST,,S SIERRA ST,W COMMERCIAL ROW,,W COMMERCIAL ROW,2021-07-09T00:00:00.000,2324,RENO,WASHOE,WASHOE,,
LVM221000058358,E FLAMINGO RD,,SR592,BOULDER HWY,,SR582S,2022-10-15T00:00:00.000,1851,LAS VEGAS,CLARK,CLARK,673966.936999999,3998427.63749999
LVM200300101745,N LAS VEGAS BLVD,,N LAS VEGAS BLVD,E WASHINGTON AVE,,E WASHINGTON AVE,2020-03-22T00:00:00.000,1453,LAS VEGAS,CLARK,CLARK,667796.304399999,4005739.5587
LVM191200011332,CAMPBELL DR,,CAMPBELL DR,HASTINGS AVE,,HASTINGS AVE,2019-12-03T00:00:00.000,932,LAS VEGAS,CLARK,CLARK,663402.2525,4003276.34139999
NHP230500277,SUMMERLIN PKWY WB,,SUMMERLIN PKWY WB,ANASAZI DR,,ANASAZI DR,2023-05-04T00:00:00.000,2255,,CLARK,CLARK,650418.679999999,4006746.67029999
RPD19-13637,N SIERRA ST,,N SIERRA ST,ISLAND AVE,,ISLAND AVE,2019-07-12T00:00:00.000,1728,RENO,WASHOE,WASHOE,258134.337199999,4378789.2607
LVM200900115126,E FLAMINGO RD,,E FLAMINGO RD,TAMARUS ST,,TAMARUS ST,2020-09-26T00:00:00.000,1808,,CLARK,CLARK,668016.1123,3998273.79749999
HP19-30161,BURKHOLDER BLVD,,BURKHOLDER BLVD,N MAJOR AVE,,N MAJOR AVE,2019-11-14T00:00:00.000,725,HENDERSON,CLARK,CLARK,683161.5767,3990058.25689999
LVM190300003854,E SAHARA AVE,,E SAHARA AVE,S MARYLAND PKWY,,S MARYLAND PKWY,2019-03-01T00:00:00.000,1859,LAS VEGAS,CLARK,CLARK,667609.654299999,4001554.19109999
LVM220200021850,N LAS VEGAS BLVD,,LAS VEGAS BLVD,PABCO RD,,PABCO RD,2022-02-06T00:00:00.000,408,LAS VEGAS,CLARK,CLARK,687681.747,4025250.58269999
LVM230800102750,E TROPICANA AVE,,SR593,MORRIS ST,,MORRIS ST,2023-08-29T00:00:00.000,1606,LAS VEGAS,CLARK,CLARK,674685.478,3996821.77559999
HP22-17138,E PEBBLE RD,,E PEBBLE RD,N PECOS RD,,PECOS RD,2022-09-02T00:00:00.000,640,HENDERSON,CLARK,CLARK,671149.9994,3988700.8428
CLSD22030914,RASSLER AVE,,RASSLER AVE,N CRESTLINE DR,,N CRESTLINE DR,2022-03-17T00:00:00.000,849,LAS VEGAS,CLARK,CLARK,658938.757199999,4005209.8011
HP20-05213,ESCONDIDO TER,,ESCONDIDO TER,VALLE VERDE DR,,VALLE VERDE DR,2020-03-12T00:00:00.000,2030,HENDERSON,CLARK,CLARK,673854.190999999,3991063.72079999
LVM230600028121,S LAS VEGAS BLVD,,W HARMON AVE,W HARMON AVE,,S LAS VEGAS BLVD,2023-06-06T00:00:00.000,2304,LAS VEGAS,CLARK,CLARK,664266.864199999,3997606.35309999
LVM190100106701,S LAS VEGAS BLVD,,S LAS VEGAS BLVD,PARIS DR,,PARIS DR,2019-01-23T00:00:00.000,935,LAS VEGAS,CLARK,CLARK,664442.327499999,3997816.92009999
LVM231100071315,S LAS VEGAS BLVD,,S LAS VEGAS BLVD,W FLAMINGO RD,,W FLAMINGO RD,2023-11-19T16:00:00.000,1135,LAS VEGAS,CLARK,CLARK,664447.083399999,3998217.971
LVM220500037845,S SANDHILL RD,,S SANDHILL RD,ROSECREST CIR,,ROSECREST CIR,2022-05-10T00:00:00.000,736,LAS VEGAS,CLARK,CLARK,671742.169599999,3998077.1436
NLPD1905090009693,W CRAIG RD,,W CRAIG RD,N DECATUR BLVD,,N DECATUR BLVD,2019-05-09T00:00:00.000,2035,NORTH LAS VEGAS,CLARK,CLARK,661065.358199999,4011921.6063
LVM200400075501,W FLAMINGO RD,,W FLAMINGO RD,S EL CAPITAN WAY,,S EL CAPITAN WAY,2020-04-16T00:00:00.000,1024,LAS VEGAS,CLARK,CLARK,654046.1682,3998052.2652
LVM200700070968,E FLAMINGO RD,,E FLAMINGO RD,KOVAL LN,,KOVAL LN,2020-07-16T00:00:00.000,2103,LAS VEGAS,CLARK,CLARK,665241.3896,3998207.5767
DCSO23SO18504,US50E,,US50E,LAKE PKWY,,LAKE PKWY,2023-07-29T00:00:00.000,56,STATELINE,DOUGLAS,DOUGLAS,245098.1045,4316417.6509
LVM211200104094,E BONANZA RD,,E BONANZA RD,N 28TH ST,28TH,N 28TH ST,2021-12-26T00:00:00.000,1428,LAS VEGAS,CLARK,CLARK,669818.915199999,4004876.1039
NLPD2305310010981,CAMINO AL NORTE,,CAMINO AL NORTE,W CRAIG RD,,W CRAIG RD,2023-05-31T00:00:00.000,901,NORTH LAS VEGAS,CLARK,CLARK,665164.3391,4012185.4622
LVM221100028978,E FLAMINGO RD,,E FLAMINGO RD,OTHER,S TAMARUS ST,OTHER,2022-11-08T00:00:00.000,1551,LAS VEGAS,CLARK,CLARK,668061.8622,3998274.6179
LVM190600027119,SOUTHERN HIGHLANDS PKWY,,SOUTHERN HIGHLANDS PKWY,DEAN MARTIN DR,,DEAN MARTIN DR,2019-06-06T00:00:00.000,1730,LAS VEGAS,CLARK,CLARK,663628.6676,3983041.88639999
RPD19-21626,KEYSTONE AVE,,KEYSTONE AVE,W 2ND ST,,W 2ND ST,2019-10-28T00:00:00.000,1031,RENO,WASHOE,WASHOE,257113.703399999,4378801.61759999
LVM200300011302,W SAHARA AVE,,W SAHARA AVE,S FORT APACHE RD,,S FORT APACHE RD,2020-03-03T00:00:00.000,1311,LAS VEGAS,CLARK,CLARK,653159.898599999,4001307.82499999
